Date	Treatment	Ratio	name
050924	0 mM	1:1	050924_Ratio_Experiment_Plate_0_1t1.fcs
050924	0 mM	1:2	050924_Ratio_Experiment_Plate_0_1t2.fcs
050924	0 mM	2:1	050924_Ratio_Experiment_Plate_0_2t1.fcs
050924	10 mM	1:1	050924_Ratio_Experiment_Plate_10_1t1.fcs
050924	10 mM	1:2	050924_Ratio_Experiment_Plate_10_1t2.fcs
050924	10 mM	2:1	050924_Ratio_Experiment_Plate_10_2t1.fcs
050924	100 mM	1:1	050924_Ratio_Experiment_Plate_100_1t1.fcs
050924	100 mM	1:2	050924_Ratio_Experiment_Plate_100_1t2.fcs
050924	100 mM	2:1	050924_Ratio_Experiment_Plate_100_2t1.fcs
050924	1000 mM	1:1	050924_Ratio_Experiment_Plate_1000_1t1.fcs
050924	1000 mM	1:2	050924_Ratio_Experiment_Plate_1000_1t2.fcs
050924	1000 mM	2:1	050924_Ratio_Experiment_Plate_1000_2t1.fcs
051024	0 mM	1:1	051024_Ratio_Experiment_Plate_0_1t1.fcs
051024	0 mM	1:2	051024_Ratio_Experiment_Plate_0_1t2.fcs
051024	0 mM	2:1	051024_Ratio_Experiment_Plate_0_2t1.fcs
051024	10 mM	1:1	051024_Ratio_Experiment_Plate_10_1t1.fcs
051024	10 mM	1:2	051024_Ratio_Experiment_Plate_10_1t2.fcs
051024	10 mM	2:1	051024_Ratio_Experiment_Plate_10_2t1.fcs
051024	100 mM	1:1	051024_Ratio_Experiment_Plate_100_1t1.fcs
051024	100 mM	1:2	051024_Ratio_Experiment_Plate_100_1t2.fcs
051024	100 mM	2:1	051024_Ratio_Experiment_Plate_100_2t1.fcs
051024	1000 mM	1:1	051024_Ratio_Experiment_Plate_1000_1t1.fcs
051024	1000 mM	1:2	051024_Ratio_Experiment_Plate_1000_1t2.fcs
051024	1000 mM	2:1	051024_Ratio_Experiment_Plate_1000_2t1.fcs
051124	0 mM	1:1	051124_Ratio_Experiment_Plate_0_1t1.fcs
051124	0 mM	1:2	051124_Ratio_Experiment_Plate_0_1t2.fcs
051124	0 mM	2:1	051124_Ratio_Experiment_Plate_0_2t1.fcs
051124	10 mM	1:1	051124_Ratio_Experiment_Plate_10_1t1.fcs
051124	10 mM	1:2	051124_Ratio_Experiment_Plate_10_1t2.fcs
051124	10 mM	2:1	051124_Ratio_Experiment_Plate_10_2t1.fcs
051124	100 mM	1:1	051124_Ratio_Experiment_Plate_100_1t1.fcs
051124	100 mM	1:2	051124_Ratio_Experiment_Plate_100_1t2.fcs
051124	100 mM	2:1	051124_Ratio_Experiment_Plate_100_2t1.fcs
051124	1000 mM	1:1	051124_Ratio_Experiment_Plate_1000_1t1.fcs
051124	1000 mM	1:2	051124_Ratio_Experiment_Plate_1000_1t2.fcs
051124	1000 mM	2:1	051124_Ratio_Experiment_Plate_1000_2t1.fcs
