Date	Treatment	CFU_Survival	sample	n_root	n_cells	n_singlet	n_live	n_inter	n_dead	percent_Dead	percent_Live	percent_inter	FGS	name
40524	0	1	040524_100+_Experiment_Plate_0.fcs	30000	29922	18458	3860	14558	73	0.003954924694	0.2091234153	0.7887095027	0.599523242	040524_100+_Experiment_Plate_0.fcs
40524	100	0.07792207792	040524_100+_Experiment_Plate_100.fcs	30000	29870	19175	6093	12745	394	0.02054758801	0.3177574967	0.6646675359	0.6295436767	040524_100+_Experiment_Plate_100.fcs
40524	1000	0	040524_100+_Experiment_Plate_1000.fcs	30000	29866	19712	2	25	19687	0.998731737	1.01E-04	0.001268262987	-0.9979961445	040524_100+_Experiment_Plate_1000.fcs
40524	250	0.0003636363636	040524_100+_Experiment_Plate_250.fcs	30000	29905	19488	134	16217	4508	0.2313218391	0.006876026273	0.8321531199	0.1916307471	040524_100+_Experiment_Plate_250.fcs
40524	500	0.00001298701299	040524_100+_Experiment_Plate_500.fcs	30000	29887	18880	9	321	18722	0.9916313559	4.77E-04	0.01700211864	-0.9826536017	040524_100+_Experiment_Plate_500.fcs
40524	750	0.00001298701299	040524_100+_Experiment_Plate_750.fcs	30000	29899	18819	2	22	18797	0.9988309687	1.06E-04	0.001169031298	-0.9981401775	040524_100+_Experiment_Plate_750.fcs
40824	0	1	040824_100+_Experiment_Plate_0.fcs	30000	29758	18250	4962	13277	146	0.008	0.271890411	0.7275068493	0.6276438356	040824_100+_Experiment_Plate_0.fcs
40824	100	0.08260869565	040824_100+_Experiment_Plate_100.fcs	30000	29783	19132	3510	15377	300	0.01568053523	0.1834622622	0.8037319674	0.5696477106	040824_100+_Experiment_Plate_100.fcs
40824	1000	0	040824_100+_Experiment_Plate_1000.fcs	30000	29750	19634	10	21	19580	0.9972496689	5.09E-04	0.001069573189	-0.9962055618	040824_100+_Experiment_Plate_1000.fcs
40824	250	0.0003695652174	040824_100+_Experiment_Plate_250.fcs	30000	29790	19084	71	14604	6747	0.3535422343	0.003720394047	0.7652483756	0.03280234752	040824_100+_Experiment_Plate_250.fcs
40824	500	0	040824_100+_Experiment_Plate_500.fcs	30000	29639	18915	29	172	18754	0.9914882368	0.001533174729	0.009093312186	-0.985408406	040824_100+_Experiment_Plate_500.fcs
40824	750	0	040824_100+_Experiment_Plate_750.fcs	30000	29446	18927	15	33	18808	0.9937126856	7.93E-04	0.001743540973	-0.9920483965	040824_100+_Experiment_Plate_750.fcs
41024	0	1	041024_100+(1)_Experiment_Plate_0.fcs	30000	29794	18746	2879	15795	47	0.002507201536	0.1535794303	0.8425797503	0.5723621039	041024_100+(1)_Experiment_Plate_0.fcs
41024	100	0.03366336634	041024_100+(1)_Experiment_Plate_100.fcs	30000	29646	18615	2281	15835	566	0.03040558689	0.1225355896	0.8506580714	0.5174590384	041024_100+(1)_Experiment_Plate_100.fcs
41024	1000	0	041024_100+(1)_Experiment_Plate_1000.fcs	30000	29762	18685	7	27	18653	0.9982873963	3.75E-04	0.001445009366	-0.9971902596	041024_100+(1)_Experiment_Plate_1000.fcs
41024	250	0.00008910891089	041024_100+(1)_Experiment_Plate_250.fcs	30000	29663	19222	53	15424	6126	0.318697326	0.002757257309	0.8024139007	0.0852668817	041024_100+(1)_Experiment_Plate_250.fcs
41024	500	0.0000198019802	041024_100+(1)_Experiment_Plate_500.fcs	30000	29718	18773	20	125	18679	0.9949928088	0.001065359825	0.006658498908	-0.9905981995	041024_100+(1)_Experiment_Plate_500.fcs
41024	750	0.0000198019802	041024_100+(1)_Experiment_Plate_750.fcs	30000	29796	19271	8	25	19233	0.9980281252	4.15E-04	0.001297286078	-0.9969643506	041024_100+(1)_Experiment_Plate_750.fcs
