Date	Treatment	Dye	CFU_Survival	sample	n_root	n_cells	n_singlet	n_live	n_inter	n_dead	n_PIDead	percent_Dead	percent_Live	percent_inter	FGS	name
31824	0	Both	1	031824_Ca Log Corre_Experiment_Plate_0_b.fcs	30000	27607	16801	1033	15707	61	885	0.003630736266	0.06148443545	0.9348848283	0.5252961133	031824_Ca Log Corre_Experiment_Plate_0_b.fcs
31824	0	PI	1	031824_Ca Log Corre_Experiment_Plate_0_p.fcs	30000	28287	17670	17644	0	0	38	0	0.9985285795	0	0.9985285795	031824_Ca Log Corre_Experiment_Plate_0_p.fcs
31824	0.6	Both	0.1695121951	031824_Ca Log Corre_Experiment_Plate_0.6_b.fcs	30000	20042	11285	3312	7804	164	768	0.01453256535	0.2934869296	0.6915374391	0.6247230837	031824_Ca Log Corre_Experiment_Plate_0.6_b.fcs
31824	0.6	PI	0.1695121951	031824_Ca Log Corre_Experiment_Plate_0.6_p.fcs	30000	21004	11321	11215	0	0	116	0	0.9906368695	0	0.9906368695	031824_Ca Log Corre_Experiment_Plate_0.6_p.fcs
31824	1000	Both	0	031824_Ca Log Corre_Experiment_Plate_1000_b.fcs	30000	24954	11492	21	195	11275	9587	0.981117299	0.001827358162	0.01696832579	-0.9708057779	031824_Ca Log Corre_Experiment_Plate_1000_b.fcs
31824	1000	PI	0	031824_Ca Log Corre_Experiment_Plate_1000_p.fcs	30000	24458	11896	237	0	1	11665	8.41E-05	0.01992266308	0	0.01983860121	031824_Ca Log Corre_Experiment_Plate_1000_p.fcs
31824	6	Both	0.0001829268293	031824_Ca Log Corre_Experiment_Plate_6_b.fcs	30000	23858	12884	241	12319	323	301	0.02506985408	0.018705371	0.9561471593	0.4717090966	031824_Ca Log Corre_Experiment_Plate_6_b.fcs
31824	6	PI	0.0001829268293	031824_Ca Log Corre_Experiment_Plate_6_p.fcs	30000	23617	13147	12965	0	0	194	0	0.9861565376	0	0.9861565376	031824_Ca Log Corre_Experiment_Plate_6_p.fcs
32024	0	Both	1	032024_Ca Log Corre_Experiment_Plate_0_b.fcs	30000	27979	17010	3810	13056	121	2762	0.007113462669	0.2239858907	0.7675485009	0.6006466784	032024_Ca Log Corre_Experiment_Plate_0_b.fcs
32024	0	PI	1	032024_Ca Log Corre_Experiment_Plate_0_p.fcs	30000	28191	17362	17167	0	0	201	0	0.988768575	0	0.988768575	032024_Ca Log Corre_Experiment_Plate_0_p.fcs
